vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
11.88433647,-0.00547874,-0.00443589,-0.0013643614513476159,0.44442579,0.0
11.93971252,-0.00544789,-0.00439465,-0.0013643614513476159,0.44442579,0.0
11.99495697,-0.00550485,-0.00437318,-0.0013643614513476159,0.44442579,0.0
12.0225296,-0.005553,-0.00436398,-0.0013643614513476159,0.44442579,0.0
12.07756042,-0.00567875,-0.00440676,-0.0013643614513476159,0.44442579,0.0
12.10501957,-0.00571825,-0.00442194,-0.0013643614513476159,0.44442579,0.0
12.15982056,-0.00578742,-0.00445971,-0.0008377658300299732,0.44442579,0.0
12.21445465,-0.0058042,-0.00448154,0.0007898935401580294,0.44442579,0.0
12.26892281,-0.00460928,-0.00368061,0.005457445589027334,0.44442579,0.0
12.29608917,-0.00430329,-0.00315812,0.01479255055221846,0.43649098,0.0
12.35020161,0.01043122,0.00772681,0.03394148424277268,0.43649098,0.0
12.35020161,0.01043122,0.00772681,0.03394148424277268,0.43649098,0.0
12.40336418,0.03651667,0.02857079,0.05993616165954564,0.43252358,0.0
12.42968655,0.04455682,0.03895585,0.09189094273536726,0.43252358,0.0
12.47761822,0.14079654,0.11312764,0.1303802886741701,0.42458877,0.0
12.52135849,0.23576608,0.19325887,0.16889359077149843,0.40871915,0.0
12.54243469,0.2781142,0.23088209,0.20865154579283232,0.3928495,0.0
12.57224369,0.40163064,0.3249841,0.2457765616529414,0.3849147,0.0
12.58569431,0.45444149,0.36840609,0.27617549319974327,0.37697989,0.0
12.60816669,0.60854065,0.49009001,0.31495207460868285,0.36902982,0.0
12.61772156,0.6904577,0.55793321,0.3361355746688086,0.36902982,0.0
12.61720276,0.78790998,0.6451475,0.343005271524469,0.36902982,0.0
12.61608124,0.83714581,0.69308168,0.33556110351217205,0.36109501,0.0
12.61462402,0.85757399,0.7141301,0.3290265440582691,0.36109501,0.0
12.61382389,0.87576532,0.73331845,0.32136697767875805,0.35712761,0.0
12.61344624,0.89189053,0.75082558,0.30114089507250114,0.35712761,0.0
12.61360359,0.90596628,0.76670468,0.2900823937320877,0.3531602,0.0
12.6149826,0.91757846,0.78085363,0.2773004791381277,0.3491928,0.0
12.61722088,0.9269011,0.79314029,0.2632978368387601,0.3491928,0.0
12.6206131,0.93378925,0.80333704,0.24773930866136695,0.34522539,0.0
12.62551689,0.93771172,0.81103545,0.21279252061125,0.34522539,0.0
12.63233948,0.93760061,0.81531513,0.1916089999966269,0.34522539,0.0
12.64470673,0.92179012,0.80806547,0.16985103916529487,0.34522539,0.0
12.66059113,0.89342022,0.78941864,0.14586700030313798,0.34522539,0.0
12.6808567,0.84634924,0.75447905,0.12030317133158121,0.34522539,0.0
